Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 10/27/24",Auckland FC,Sydney FC,Starting XI,Alex Paulsen,22,Goalkeeper,€450k,"New Zealand, South Africa"
"Sun, 10/27/24",Auckland FC,Sydney FC,Starting XI,Nando Pijnaker,25,Centre-Back,€150k,"New Zealand, Netherlands"
"Sun, 10/27/24",Auckland FC,Sydney FC,Starting XI,Daniel Hall,25,Centre-Back,€350k,"Australia, Fiji"
"Sun, 10/27/24",Auckland FC,Sydney FC,Starting XI,Francis de Vries,29,Left-Back,€375k,New Zealand
"Sun, 10/27/24",Auckland FC,Sydney FC,Starting XI,Hiroki Sakai,34,Right-Back,€600k,Japan
"Sun, 10/27/24",Auckland FC,Sydney FC,Starting XI,Louis Verstraete,25,Defensive Midfield,€400k,Belgium
"Sun, 10/27/24",Auckland FC,Sydney FC,Starting XI,Luis Felipe Gallegos,32,Defensive Midfield,€300k,"Chile, Italy"
"Sun, 10/27/24",Auckland FC,Sydney FC,Starting XI,Cameron Howieson,29,Attacking Midfield,€400k,"New Zealand, Scotland"
"Sun, 10/27/24",Auckland FC,Sydney FC,Starting XI,Liam Gillion,22,Left Winger,€375k,New Zealand
"Sun, 10/27/24",Auckland FC,Sydney FC,Starting XI,Logan Rogerson,26,Right Winger,€200k,New Zealand
"Sun, 10/27/24",Auckland FC,Sydney FC,Starting XI,Guillermo May,26,Centre-Forward,€800k,"Uruguay, Italy"
"Sun, 10/27/24",Auckland FC,Sydney FC,Substitutes,Michael Woud,25,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sun, 10/27/24",Auckland FC,Sydney FC,Substitutes,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sun, 10/27/24",Auckland FC,Sydney FC,Substitutes,Callan Elliot,25,Right-Back,€300k,"New Zealand, Scotland"
"Sun, 10/27/24",Auckland FC,Sydney FC,Substitutes,Finn McKenlay,19,Central Midfield,€325k,"New Zealand, England"
"Sun, 10/27/24",Auckland FC,Sydney FC,Substitutes,Jake Brimmer,26,Attacking Midfield,€550k,"Australia, Malta"
"Sun, 10/27/24",Auckland FC,Sydney FC,Substitutes,Jesse Randall,22,Right Winger,€250k,New Zealand
"Sun, 10/27/24",Auckland FC,Sydney FC,Substitutes,Max Mata,24,Centre-Forward,€275k,"New Zealand, Cookinseln"
"Sun, 10/27/24",Sydney FC,Auckland FC,Starting XI,Andrew Redmayne,35,Goalkeeper,€400k,Australia
"Sun, 10/27/24",Sydney FC,Auckland FC,Starting XI,Hayden Matthews,20,Centre-Back,€300k,Australia
"Sun, 10/27/24",Sydney FC,Auckland FC,Starting XI,Alexandar Popovic,22,Centre-Back,€325k,Australia
"Sun, 10/27/24",Sydney FC,Auckland FC,Starting XI,Jordan Courtney-Perkins,21,Left-Back,€400k,Australia
"Sun, 10/27/24",Sydney FC,Auckland FC,Starting XI,Rhyan Grant,33,Right-Back,€500k,Australia
"Sun, 10/27/24",Sydney FC,Auckland FC,Starting XI,Corey Hollman,21,Defensive Midfield,€350k,Australia
"Sun, 10/27/24",Sydney FC,Auckland FC,Starting XI,Léo Sena,28,Defensive Midfield,€500k,Brazil
"Sun, 10/27/24",Sydney FC,Auckland FC,Starting XI,Anas Ouahim,27,Attacking Midfield,€500k,"Morocco, Germany"
"Sun, 10/27/24",Sydney FC,Auckland FC,Starting XI,Anthony Cáceres,32,Left Winger,€600k,"Australia, Uruguay"
"Sun, 10/27/24",Sydney FC,Auckland FC,Starting XI,Joe Lolley,32,Right Winger,€1.50m,England
"Sun, 10/27/24",Sydney FC,Auckland FC,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Sun, 10/27/24",Sydney FC,Auckland FC,Substitutes,Harrison Devenish-Meares,28,Goalkeeper,€25k,Australia
"Sun, 10/27/24",Sydney FC,Auckland FC,Substitutes,Joel King,23,Left-Back,€500k,Australia
"Sun, 10/27/24",Sydney FC,Auckland FC,Substitutes,Will Kennedy,19,Left-Back,,"Australia, England"
"Sun, 10/27/24",Sydney FC,Auckland FC,Substitutes,Jaiden Kucharski,22,Left Winger,€350k,"Australia, Poland"
"Sun, 10/27/24",Sydney FC,Auckland FC,Substitutes,Adrian Segecic,20,Right Winger,€400k,"Australia, Croatia"
"Sun, 10/27/24",Sydney FC,Auckland FC,Substitutes,Nathan Amanatidis,18,Right Winger,€125k,Australia
"Sun, 10/27/24",Sydney FC,Auckland FC,Substitutes,Patrick Wood,22,Centre-Forward,€350k,Australia
